date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:23:49	22571/22571	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/screenshots/starter-template.jpg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/screenshots/starter-template.jpg	(from http://getbootstrap.com/getting-started/)
22:23:49	26512/26512	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/theme/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/theme/index.html	(from http://getbootstrap.com/getting-started/)
22:23:52	6641/6641	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/grid/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/grid/index.html	(from http://getbootstrap.com/getting-started/)
22:23:52	5106/5106	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/jumbotron/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/jumbotron/index.html	(from http://getbootstrap.com/getting-started/)
22:23:59	85405/85405	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/screenshots/theme.jpg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/screenshots/theme.jpg	(from http://getbootstrap.com/getting-started/)
22:23:59	3460/3460	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/jumbotron-narrow/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/jumbotron-narrow/index.html	(from http://getbootstrap.com/getting-started/)
22:24:04	68573/68573	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/screenshots/jumbotron-narrow.jpg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/screenshots/jumbotron-narrow.jpg	(from http://getbootstrap.com/getting-started/)
22:24:04	99951/99951	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/screenshots/grid.jpg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/screenshots/grid.jpg	(from http://getbootstrap.com/getting-started/)
22:24:05	101076/101076	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/screenshots/jumbotron.jpg	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/screenshots/jumbotron.jpg	(from http://getbootstrap.com/getting-started/)
22:24:05	4571/4571	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Apr%202016%2022:02:33%20GMT	http://getbootstrap.com/examples/navbar/	C:/My%20Web%20Sites/http___getbootstrap.com_/getbootstrap.com/examples/navbar/index.html	(from http://getbootstrap.com/getting-started/)
